estado;cidade;populacao;pib;pib_percapita
BAHIA;Tremedal;18433;57883.9921875;3140.23999023
RIO GRANDE DO SUL;Turuçu;4000;45723.875;11430.96972656
ESPIRITO SANTO;Vitória;320156;19782628.0;61790.58984375
MINAS GERAIS;Jacutinga;21424;247816.0;11567.20996094
PIAUI;Nazária;7895;20951.38085938;2653.75
MINAS GERAIS;Pedra Azul;26000;187523.671875;7212.45019531
PIAUI;Teresina;802537;8700461.0;10841.20019531
PIAUI;Amarante;17892;65322.88671875;3650.94995117
GOIAS;Matrinchã;4420;45910.546875;10387.0
PERNAMBUCO;Cachoeirinha;18123;80433.8046875;4438.22021484
PARA;Afuá;32633;100038.40625;3065.56005859
PERNAMBUCO;Fernando de Noronha;3108;26980.71484375;8681.04980469
RIO GRANDE DO SUL;Frederico Westphalen;28428;490769.53125;17263.59960938
SERGIPE;Amparo de São Francisco;2268;12769.73339844;5630.39013672
SAO PAULO;Itapeva;89768;1120700.0;12484.40039062
PARAIBA;Bayeux;96198;604882.125;6287.89013672
TOCANTINS;Ananás;9514;59541.40625;6258.29003906
MINAS GERAIS;Santo Antônio do Retiro;7087;25568.890625;3607.86010742
PARAIBA;Serra Branca;12816;62123.3359375;4847.33007812
AMAZONAS;Envira;17614;69843.03125;3965.19995117
TOCANTINS;Oliveira de Fátima;1129;11591.94921875;10267.45019531
SAO PAULO;Elisiário;3317;52295.234375;15765.8203125
SANTA CATARINA;Otacílio Costa;16587;364577.8125;21979.73046875
MINAS GERAIS;Sericita;7345;39047.0703125;5316.14013672
MINAS GERAIS;Diamantina;46372;287632.03125;6202.70996094
BAHIA;Maetinga;7884;23558.44726562;2988.12988281
CEARA;Iracema;15114;62552.0234375;4138.68017578
RORAIMA;São João da Baliza;6028;59372.453125;9849.45019531
RIO GRANDE DO SUL;Paulo Bento;2149;37882.76953125;17628.08984375
PERNAMBUCO;Alagoinha;14913;57886.21484375;3881.59008789
PIAUI;Inhuma;15490;62012.0234375;4003.36010742
MARANHAO;Joselândia;16188;60842.48046875;3758.48999023
RIO DE JANEIRO;Itaguaí;105633;3008327.25;28479.05078125
MINAS GERAIS;Cedro do Abaeté;1221;10221.85644531;8371.70996094
RIO GRANDE DO SUL;Cacequi;13578;174171.703125;12827.49023438
PERNAMBUCO;Barra de Guabiraba;13623;46595.87109375;3420.37988281
BAHIA;Ibirapuã;7893;74997.40625;9501.75976562
PARAIBA;Bernardino Batista;3315;11964.66210938;3609.25
PARAIBA;Lagoa;4949;19203.7109375;3880.32006836
MATO GROSSO;Novo Horizonte do Norte;3970;32778.5078125;8256.54980469
MINAS GERAIS;Nova Lima;76608;2120726.75;27682.83984375
PARA;Tomé-Açu;48607;226379.46875;4657.33984375
BAHIA;Governador Mangabeira;20668;92903.8203125;4495.06005859
PIAUI;Aroeiras do Itaim;2759;8614.79785156;3122.42993164
